"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Jarrett Jack","G (1.1)","32","1027",".052","-1.5","1.11","19.2","6.4","11.0","4.4","0.3","1.6","3.6",2015,"brk"
"Joe Johnson","SF (3.2)","57","1934",".010","-2.8","0.38","16.7","5.6","5.8","2.9","0.0","1.0","2.5",2015,"brk"
"Markel Brown","SG (2.0)","62","982",".026","-2.3","0.54","17.7","6.0","4.4","2.6","0.7","1.9","4.6",2015,"brk"
"Rondae Hollis-Jefferson","GF (2.0)","29","615",".249","4.7","3.19","13.0","12.0","3.4","2.0","1.2","3.0","4.8",2015,"brk"
"Sean Kilpatrick","SF (2.6)","23","534",".043","-1.7","0.48","28.6","4.5","2.3","2.4","0.2","0.9","2.7",2015,"brk"
"Sergey Karasev","GF (2.0)","40","399",".087","-0.4","0.72","11.7","7.0","4.2","2.6","0.2","0.7","3.2",2015,"brk"
"Shane Larkin","PG (1.0)","78","1751",".085","-0.4","3.09","15.5","4.9","9.4","4.0","0.3","2.6","3.3",2015,"brk"
"Thaddeus Young","F (4.0)","73","2407",".066","-1.0","3.31","22.0","13.2","2.7","2.7","0.7","2.2","3.6",2015,"brk"
"Thomas Robinson","PF (4.2)","71","917",".098","-0.0","1.88","16.1","18.8","2.4","3.6","1.9","2.0","5.8",2015,"brk"
"Wayne Ellington","SG (2.0)","76","1615",".013","-2.7","0.45","17.4","5.2","2.5","1.3","0.1","1.4","2.4",2015,"brk"
"Willie Reed","C (5.0)","39","426",".169","2.2","1.50","20.5","13.7","1.1","1.8","3.4","0.7","5.3",2015,"brk"
"Andrew Nicholson","PF (5.0)","10","111","-.154","-7.9","-0.35","13.0","11.7","1.3","2.6","0.0","2.2","7.8",2016,"brk"
"Anthony Bennett","PF (4.0)","23","264",".098","-0.0","0.54","20.9","14.2","2.0","2.2","0.5","0.9","3.3",2016,"brk"
"Archie Goodwin","SG (2.0)","12","184",".251","4.7","0.96","24.7","7.3","6.0","3.6","1.0","1.0","1.8",2016,"brk"
"Bojan Bogdanovic","SF (3.9)","55","1487","-.061","-5.0","-1.89","25.3","6.4","2.9","3.0","0.1","0.7","3.2",2016,"brk"
"Brook Lopez","C (5.0)","75","2222",".027","-2.2","1.26","33.2","8.7","3.8","4.0","2.7","0.8","4.1",2016,"brk"
