"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Jiri Welsch","GF (2.5)","37","234","-.193","-9.1","-0.94","12.5","5.7","5.5","3.9","0.4","1.6","6.6",2002,"gsw"
"Mike Dunleavy","GF (2.0)","82","1305",".071","-0.9","1.92","17.1","7.9","3.9","3.2","0.7","1.9","4.4",2002,"gsw"
"Mike Dunleavy","SF (3.0)","82","1305",".071","-0.9","1.92","17.1","7.9","3.9","3.2","0.7","1.9","4.4",2002,"gsw"
"Oscar Torres","GF (2.0)","16","108",".062","-1.1","0.14","23.6","5.3","1.3","3.6","0.9","1.8","4.0",2002,"gsw"
"Troy Murphy","FC (4.2)","79","2510",".118","0.6","6.15","17.7","15.4","2.0","2.1","0.6","1.2","4.7",2002,"gsw"
"Adonal Foyle","C (5.0)","44","572",".145","1.4","1.73","11.5","14.0","1.4","1.8","3.9","0.5","5.7",2003,"gsw"
"Avery Johnson","PG (1.0)","46","637","0","-3.1","-0.00","16.0","2.5","8.4","3.8","0.2","2.0","2.6",2003,"gsw"
"Brian Cardinal","F (4.0)","76","1634",".175","2.4","5.96","21.5","9.3","3.0","2.5","0.6","1.9","6.1",2003,"gsw"
"Calbert Cheaney","GF (2.5)","79","2067",".069","-0.9","2.97","14.0","6.0","3.2","2.0","0.3","1.4","4.3",2003,"gsw"
"Cherokee Parks","FC (4.5)","12","64",".001","-3.0","0.00","9.0","7.5","0.8","1.5","2.2","0.0","5.2",2003,"gsw"
"Clifford Robinson","FC (4.4)","82","2846","-.064","-5.1","-3.78","16.3","5.4","4.6","2.9","1.2","1.1","4.0",2003,"gsw"
"Dan Langhi","SF (4.0)","4","17","-.479","-18.0","-0.17","16.9","8.5","0.0","5.6","0.0","0.0","14.1",2003,"gsw"
"Erick Dampier","C (5.0)","74","2403",".283","5.7","14.18","18.2","17.7","1.2","2.6","2.7","0.7","4.5",2003,"gsw"
"Jason Richardson","GF (2.5)","78","2936",".072","-0.8","4.39","23.9","8.6","3.7","3.2","0.7","1.4","3.0",2003,"gsw"
"J.R. Bremer","G (1.0)","5","40","-.536","-19.8","-0.45","9.6","3.6","14.4","6.0","0.0","0.0","6.0",2003,"gsw"
"Mickael Pietrus","GF (2.3)","53","748",".099","0.0","1.55","17.9","7.6","1.7","2.6","0.8","2.1","6.4",2003,"gsw"
"Mike Dunleavy","SF (3.3)","75","2336",".136","1.1","6.60","18.0","9.1","4.5","2.9","0.3","1.4","3.5",2003,"gsw"
